University,Degree,Course Name,Credits,College Course Cost ($),College Course Time (Weeks),Alternative Path 1,Alt 1 Cost ($),Alt 1 Time (Weeks),Alternative Path 2,Alt 2 Cost ($),Alt 2 Time (Weeks),Fresher,Alt 3
Caltech,Business Administration,Global Economics,6,1249,13,AP Global Economics exam,377,1,edX Global Economics certificate,416,6,1,
Caltech,Business Administration,Risk Management,4,822,7,CLEP Risk Management exam,221,1,Coursera Risk Management certificate,159,3,0,
Caltech,Business Administration,Leadership and Ethics,3,620,8,CLEP Leadership and Ethics exam,469,1,Coursera Leadership and Ethics certificate,266,5,0,
Caltech,Business Administration,Entrepreneurship Development,4,1096,7,DSST Entrepreneurship Development exam,416,1,Coursera Entrepreneurship Development certificate,263,6,0,
Caltech,Business Administration,International Business,9,1177,14,AP International Business exam,429,1,edX International Business certificate,526,6,1,
Caltech,Business Administration,Operations Management,3,1420,10,,,,,,,0,Marketing Manager
Caltech,Business Administration,Financial Modeling,9,1092,11,CLEP Financial Modeling exam,249,1,Coursera Financial Modeling certificate,377,4,0,Marketing Manager
Caltech,Business Administration,Supply Chain Management,6,865,7,AP Supply Chain Management exam,349,1,Coursera Supply Chain Management certificate,226,3,1,Business Analyst
Caltech,Business Administration,Project Management,8,1018,11,CLEP Project Management exam,236,1,edX Project Management certificate,265,6,0,Business Analyst
Caltech,Business Administration,Customer Relationship Management,9,899,10,DSST Customer Relationship Management exam,570,1,Coursera Customer Relationship Management certificate,280,4,0,
Caltech,Business Administration,Venture Capital,3,751,14,CLEP Venture Capital exam,263,1,Coursera Venture Capital certificate,519,6,0,Business Analyst
Caltech,Business Administration,Business Analytics,6,1273,14,DSST Business Analytics exam,352,1,Coursera Business Analytics certificate,572,6,0,
Caltech,Business Administration,Strategic Planning,8,627,11,DSST Strategic Planning exam,225,1,Coursera Strategic Planning certificate,417,5,0,
Caltech,Business Administration,Corporate Finance,4,601,11,,,,,,,0,Marketing Manager
Caltech,Business Administration,Digital Business Strategy,6,666,10,CLEP Digital Business Strategy exam,541,1,Coursera Digital Business Strategy certificate,456,6,0,Operations Coordinator
Caltech,Business Administration,Business Law,8,887,8,DSST Business Law exam,441,1,Coursera Business Law certificate,446,5,0,
Caltech,Business Administration,Mergers and Acquisitions,9,1446,14,CLEP Mergers and Acquisitions exam,321,1,Coursera Mergers and Acquisitions certificate,306,3,0,
Caltech,Business Administration,Data Analytics for Business,8,1332,8,,,,,,,0,Business Analyst
Caltech,Business Administration,Advanced Topics in Business Administration 1,3,722,13,DSST Advanced Topics in Business Administration 1 exam,576,1,Coursera Advanced Topics in Business Administration 1 certificate,487,3,0,Operations Coordinator
Caltech,Business Administration,Marketing Strategy,4,1375,7,,,,,,,0,
Caltech,Computer Science,Artificial Intelligence,6,702,12,CLEP Artificial Intelligence exam,415,1,AWS Artificial Intelligence certificate,586,3,0,
Caltech,Computer Science,Mobile App Development,7,758,10,CLEP Mobile App Development exam,216,1,Google Mobile App Development certificate,593,6,0,Data Analyst
Caltech,Computer Science,Internet of Things (IoT),3,1282,8,,,,,,,0,
Caltech,Computer Science,Software Testing and Quality Assurance,9,903,12,DSST Software Testing and Quality Assurance exam,251,1,IBM Software Testing and Quality Assurance certificate,175,6,0,Data Analyst
Caltech,Computer Science,Cloud Computing,3,710,6,AP Cloud Computing exam,353,1,AWS Cloud Computing certificate,536,6,1,Software Engineer
Caltech,Computer Science,Cybersecurity Principles,9,822,8,AP Cybersecurity Principles exam,441,1,IBM Cybersecurity Principles certificate,564,6,1,Data Analyst
Caltech,Computer Science,Machine Learning Operations,7,771,11,AP Machine Learning Operations exam,288,1,IBM Machine Learning Operations certificate,330,4,1,
Caltech,Computer Science,Natural Language Processing,4,1383,13,DSST Natural Language Processing exam,376,1,IBM Natural Language Processing certificate,455,3,0,Data Analyst
